"Time","S0 (inverter/slowDegHighInput, 1)","S0 (inverter/slowDegHighInput, 10)","S0 (inverter/slowDegHighInput, 2)","S0 (inverter/slowDegHighInput, 3)","S0 (inverter/slowDegHighInput, 4)","S0 (inverter/slowDegHighInput, 5)","S0 (inverter/slowDegHighInput, 6)","S0 (inverter/slowDegHighInput, 7)","S0 (inverter/slowDegHighInput, 8)","S0 (inverter/slowDegHighInput, 9)"
0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1.0,50.0,50.0,60.0,50.0,50.0,50.0,50.0,50.0,60.0,60.0
2.0,60.0,50.0,60.0,50.0,50.0,50.0,50.0,50.0,60.0,60.0
3.0,60.0,50.0,60.0,50.0,50.0,50.0,50.0,50.0,70.0,60.0
4.0,60.0,50.0,60.0,60.0,50.0,50.0,60.0,50.0,70.0,60.0
5.0,60.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,60.0
6.0,60.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,60.0
7.0,60.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,60.0
8.0,60.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,70.0
9.0,60.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,70.0
10.0,60.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,70.0
11.0,70.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,70.0
12.0,80.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,70.0
13.0,90.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,70.0
14.0,89.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,70.0
15.0,89.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,70.0
16.0,89.0,50.0,70.0,60.0,50.0,50.0,60.0,60.0,70.0,70.0
17.0,89.0,50.0,70.0,60.0,50.0,50.0,70.0,60.0,70.0,70.0
18.0,89.0,50.0,70.0,60.0,60.0,60.0,70.0,60.0,70.0,80.0
19.0,89.0,50.0,70.0,60.0,60.0,60.0,70.0,60.0,70.0,80.0
20.0,89.0,50.0,70.0,60.0,60.0,60.0,70.0,60.0,70.0,80.0
21.0,89.0,50.0,70.0,60.0,60.0,60.0,70.0,60.0,70.0,80.0
22.0,89.0,50.0,70.0,60.0,60.0,60.0,70.0,60.0,70.0,80.0
23.0,89.0,50.0,70.0,60.0,60.0,60.0,70.0,60.0,70.0,80.0
24.0,89.0,50.0,70.0,70.0,60.0,60.0,70.0,60.0,70.0,80.0
25.0,89.0,50.0,70.0,70.0,60.0,60.0,70.0,60.0,70.0,80.0
26.0,89.0,50.0,70.0,70.0,60.0,60.0,70.0,60.0,70.0,80.0
27.0,89.0,50.0,70.0,70.0,60.0,60.0,70.0,60.0,70.0,80.0
28.0,89.0,50.0,70.0,70.0,70.0,60.0,70.0,60.0,70.0,80.0
29.0,89.0,60.0,70.0,70.0,70.0,60.0,70.0,60.0,70.0,80.0
30.0,99.0,60.0,70.0,70.0,70.0,60.0,70.0,60.0,70.0,80.0
31.0,99.0,60.0,70.0,70.0,70.0,60.0,69.0,70.0,70.0,80.0
32.0,99.0,60.0,70.0,70.0,70.0,60.0,69.0,70.0,70.0,80.0
33.0,99.0,60.0,70.0,70.0,80.0,60.0,69.0,70.0,70.0,80.0
34.0,99.0,60.0,70.0,70.0,80.0,60.0,69.0,70.0,70.0,80.0
35.0,99.0,60.0,70.0,70.0,80.0,60.0,69.0,70.0,70.0,80.0
36.0,99.0,60.0,70.0,70.0,80.0,60.0,69.0,70.0,70.0,80.0
37.0,99.0,60.0,70.0,70.0,80.0,60.0,69.0,70.0,70.0,80.0
38.0,99.0,60.0,70.0,70.0,80.0,60.0,69.0,70.0,70.0,80.0
39.0,99.0,60.0,70.0,70.0,80.0,60.0,69.0,70.0,70.0,80.0
