0,0
1.3907e-08,9.6242e-05
2.7813e-08,0.00019248
4.172e-08,0.00028872
1.8079e-07,0.0012511
3.1985e-07,0.0022136
4.5892e-07,0.003176
1.8496e-06,0.0128
3.2403e-06,0.022424
4.6309e-06,0.032048
1.8538e-05,0.12829
3.2444e-05,0.22453
4.6351e-05,0.32077
0.00018542,1.2832
0.00032449,2.2456
0.00046355,3.208
0.0018542,12.832
0.0032449,22.455
0.0046356,32.077
0.014756,102.1
0.024877,172.09
0.034998,242.06
0.045119,312.01
0.11241,776.44
0.1797,1239.8
0.24699,1702.1
0.31428,2163.4
0.62506,4280.1
0.93585,6374.5
1.2466,8446.8
1.5574,10497
2.5768,17074
3.5962,23426
4.6155,29561
5.6349,35487
8.3248,50169
11.015,63563
13.705,75785
16.395,86937
19.085,97112
19.683,99252
20.18,1.0014e+05
20.677,1.0041e+05
21.174,1.0047e+05
21.671,1.0049e+05
22.168,1.005e+05
26.768,1.0064e+05
31.368,1.0077e+05
35.968,1.0088e+05
36.858,1.009e+05
37.748,1.0092e+05
38.637,1.0094e+05
39.527,1.0096e+05
39.9,1.0097e+05
40.02,1.008e+05
40.14,1.006e+05
40.26,1.004e+05
41.221,98819
42.181,97289
43.142,95806
46,91643
