"Time","S0 (inverter/slowDeg, 1)","S0 (inverter/slowDeg, 10)","S0 (inverter/slowDeg, 2)","S0 (inverter/slowDeg, 3)","S0 (inverter/slowDeg, 4)","S0 (inverter/slowDeg, 5)","S0 (inverter/slowDeg, 6)","S0 (inverter/slowDeg, 7)","S0 (inverter/slowDeg, 8)","S0 (inverter/slowDeg, 9)"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0,10.0
8.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,20.0,10.0
9.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,20.0,10.0
10.0,0.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,20.0,10.0
11.0,0.0,10.0,0.0,20.0,0.0,0.0,10.0,0.0,20.0,10.0
12.0,0.0,10.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,10.0
13.0,0.0,10.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,10.0
14.0,0.0,10.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,10.0
15.0,0.0,10.0,0.0,30.0,0.0,0.0,20.0,0.0,20.0,10.0
16.0,0.0,10.0,0.0,30.0,0.0,0.0,20.0,0.0,20.0,10.0
17.0,0.0,10.0,0.0,30.0,0.0,0.0,20.0,0.0,20.0,10.0
18.0,0.0,10.0,0.0,30.0,0.0,0.0,20.0,0.0,20.0,10.0
19.0,0.0,10.0,0.0,30.0,0.0,0.0,30.0,0.0,20.0,10.0
20.0,0.0,10.0,0.0,30.0,0.0,0.0,30.0,10.0,20.0,20.0
21.0,0.0,10.0,0.0,30.0,10.0,0.0,30.0,10.0,20.0,20.0
22.0,0.0,10.0,0.0,30.0,10.0,0.0,30.0,10.0,20.0,20.0
23.0,0.0,20.0,0.0,30.0,10.0,0.0,30.0,10.0,20.0,20.0
24.0,0.0,20.0,0.0,30.0,10.0,0.0,30.0,10.0,20.0,20.0
25.0,0.0,20.0,0.0,30.0,10.0,0.0,30.0,10.0,20.0,20.0
26.0,0.0,30.0,0.0,30.0,10.0,0.0,30.0,10.0,20.0,20.0
27.0,0.0,30.0,0.0,30.0,10.0,0.0,30.0,10.0,20.0,20.0
28.0,0.0,30.0,0.0,30.0,10.0,0.0,30.0,10.0,20.0,20.0
29.0,0.0,30.0,0.0,30.0,10.0,0.0,30.0,10.0,30.0,20.0
30.0,0.0,30.0,0.0,40.0,10.0,0.0,30.0,10.0,30.0,20.0
31.0,0.0,30.0,0.0,40.0,10.0,0.0,30.0,10.0,30.0,30.0
32.0,0.0,30.0,0.0,40.0,10.0,0.0,30.0,10.0,30.0,30.0
33.0,0.0,30.0,0.0,40.0,10.0,0.0,30.0,10.0,30.0,30.0
34.0,0.0,30.0,0.0,40.0,10.0,0.0,30.0,10.0,30.0,30.0
35.0,0.0,30.0,0.0,40.0,10.0,0.0,30.0,10.0,30.0,30.0
36.0,0.0,30.0,0.0,50.0,10.0,0.0,30.0,10.0,30.0,30.0
37.0,0.0,30.0,0.0,50.0,10.0,0.0,30.0,10.0,30.0,30.0
38.0,0.0,30.0,0.0,50.0,10.0,0.0,30.0,20.0,30.0,30.0
39.0,10.0,30.0,0.0,50.0,10.0,0.0,30.0,20.0,30.0,30.0
40.0,10.0,30.0,0.0,50.0,10.0,0.0,30.0,20.0,30.0,30.0
41.0,10.0,30.0,10.0,50.0,10.0,0.0,30.0,20.0,30.0,30.0
42.0,10.0,30.0,10.0,50.0,10.0,0.0,30.0,20.0,30.0,30.0
43.0,10.0,30.0,10.0,50.0,10.0,0.0,30.0,20.0,50.0,30.0
44.0,10.0,30.0,10.0,50.0,10.0,0.0,30.0,20.0,50.0,30.0
45.0,10.0,30.0,10.0,50.0,10.0,0.0,30.0,20.0,50.0,30.0
46.0,10.0,30.0,10.0,50.0,10.0,0.0,30.0,20.0,50.0,30.0
47.0,10.0,30.0,10.0,50.0,10.0,0.0,30.0,20.0,50.0,30.0
48.0,10.0,30.0,10.0,50.0,10.0,0.0,30.0,20.0,50.0,30.0
49.0,10.0,30.0,10.0,50.0,10.0,0.0,30.0,20.0,50.0,30.0
50.0,10.0,30.0,10.0,50.0,10.0,0.0,30.0,20.0,50.0,30.0
51.0,10.0,30.0,10.0,50.0,10.0,0.0,30.0,20.0,50.0,30.0
52.0,10.0,30.0,10.0,50.0,10.0,0.0,30.0,20.0,50.0,30.0
53.0,10.0,40.0,10.0,50.0,10.0,0.0,30.0,20.0,50.0,30.0
54.0,10.0,40.0,10.0,50.0,10.0,0.0,30.0,20.0,50.0,30.0
55.0,10.0,40.0,10.0,50.0,10.0,0.0,30.0,20.0,50.0,30.0
56.0,10.0,40.0,10.0,50.0,10.0,0.0,30.0,20.0,50.0,30.0
57.0,10.0,40.0,10.0,50.0,10.0,0.0,30.0,20.0,50.0,30.0
58.0,10.0,40.0,10.0,60.0,10.0,0.0,30.0,20.0,50.0,30.0
59.0,10.0,40.0,10.0,60.0,10.0,0.0,40.0,20.0,50.0,30.0
60.0,10.0,40.0,20.0,60.0,10.0,0.0,40.0,20.0,50.0,30.0
61.0,10.0,40.0,20.0,60.0,10.0,0.0,40.0,20.0,50.0,30.0
62.0,20.0,40.0,20.0,60.0,10.0,0.0,40.0,20.0,50.0,30.0
63.0,20.0,40.0,20.0,59.0,10.0,0.0,40.0,20.0,50.0,30.0
64.0,20.0,40.0,20.0,59.0,10.0,0.0,40.0,20.0,50.0,30.0
65.0,20.0,40.0,20.0,59.0,10.0,0.0,40.0,20.0,50.0,30.0
66.0,30.0,40.0,20.0,59.0,10.0,0.0,40.0,20.0,50.0,30.0
67.0,30.0,40.0,20.0,59.0,10.0,0.0,40.0,20.0,50.0,40.0
68.0,30.0,40.0,20.0,59.0,10.0,0.0,40.0,20.0,50.0,40.0
69.0,30.0,40.0,20.0,59.0,10.0,0.0,40.0,20.0,50.0,40.0
70.0,30.0,40.0,20.0,59.0,10.0,0.0,50.0,20.0,50.0,40.0
71.0,30.0,40.0,20.0,59.0,10.0,0.0,50.0,20.0,50.0,40.0
72.0,30.0,40.0,20.0,59.0,10.0,0.0,60.0,20.0,60.0,40.0
73.0,30.0,40.0,20.0,59.0,10.0,0.0,70.0,20.0,60.0,40.0
74.0,30.0,50.0,20.0,59.0,10.0,0.0,70.0,20.0,60.0,40.0
75.0,30.0,50.0,30.0,59.0,10.0,0.0,70.0,20.0,60.0,40.0
76.0,30.0,60.0,30.0,59.0,10.0,0.0,70.0,20.0,60.0,40.0
77.0,30.0,60.0,30.0,59.0,10.0,0.0,70.0,20.0,60.0,40.0
78.0,30.0,60.0,30.0,59.0,10.0,0.0,70.0,20.0,60.0,40.0
79.0,30.0,60.0,30.0,59.0,10.0,0.0,70.0,20.0,60.0,40.0
80.0,30.0,60.0,30.0,59.0,10.0,0.0,70.0,20.0,70.0,40.0
81.0,30.0,60.0,30.0,59.0,10.0,0.0,70.0,20.0,70.0,40.0
82.0,30.0,70.0,30.0,59.0,10.0,0.0,70.0,20.0,70.0,40.0
83.0,30.0,70.0,30.0,59.0,10.0,0.0,70.0,20.0,70.0,40.0
84.0,30.0,80.0,30.0,59.0,10.0,0.0,70.0,20.0,70.0,40.0
85.0,30.0,80.0,30.0,59.0,20.0,0.0,70.0,20.0,70.0,40.0
86.0,30.0,80.0,30.0,59.0,30.0,0.0,70.0,20.0,80.0,40.0
87.0,30.0,80.0,30.0,59.0,30.0,0.0,70.0,20.0,80.0,40.0
88.0,30.0,80.0,30.0,59.0,30.0,0.0,70.0,20.0,80.0,40.0
89.0,30.0,80.0,30.0,59.0,30.0,0.0,70.0,20.0,80.0,40.0
90.0,30.0,90.0,30.0,59.0,30.0,0.0,70.0,20.0,80.0,40.0
91.0,30.0,90.0,30.0,59.0,30.0,0.0,70.0,20.0,80.0,40.0
92.0,30.0,90.0,40.0,59.0,30.0,0.0,70.0,20.0,90.0,40.0
93.0,30.0,90.0,40.0,59.0,30.0,0.0,70.0,20.0,90.0,40.0
94.0,30.0,90.0,40.0,59.0,30.0,0.0,70.0,20.0,90.0,40.0
95.0,30.0,90.0,40.0,59.0,30.0,0.0,70.0,20.0,90.0,40.0
96.0,30.0,90.0,40.0,59.0,30.0,0.0,70.0,30.0,100.0,40.0
97.0,30.0,90.0,40.0,59.0,30.0,0.0,70.0,30.0,100.0,40.0
98.0,30.0,90.0,40.0,59.0,30.0,0.0,70.0,30.0,100.0,40.0
99.0,30.0,100.0,40.0,59.0,30.0,0.0,70.0,30.0,100.0,40.0
100.0,30.0,100.0,40.0,59.0,30.0,0.0,70.0,30.0,100.0,40.0
101.0,30.0,100.0,40.0,59.0,30.0,0.0,70.0,30.0,110.0,40.0
102.0,30.0,100.0,40.0,59.0,30.0,0.0,70.0,30.0,110.0,40.0
103.0,30.0,100.0,40.0,59.0,30.0,0.0,70.0,30.0,110.0,40.0
104.0,30.0,100.0,40.0,59.0,30.0,0.0,70.0,30.0,110.0,50.0
105.0,30.0,100.0,40.0,59.0,30.0,0.0,70.0,30.0,110.0,60.0
106.0,40.0,100.0,40.0,59.0,30.0,0.0,70.0,30.0,110.0,60.0
107.0,50.0,100.0,40.0,59.0,30.0,0.0,70.0,30.0,110.0,60.0
108.0,50.0,100.0,40.0,59.0,30.0,0.0,70.0,30.0,110.0,60.0
109.0,50.0,100.0,40.0,59.0,30.0,0.0,70.0,30.0,110.0,60.0
110.0,50.0,100.0,40.0,59.0,30.0,0.0,70.0,30.0,110.0,60.0
111.0,50.0,100.0,40.0,59.0,30.0,0.0,70.0,30.0,110.0,60.0
112.0,50.0,100.0,40.0,59.0,30.0,0.0,70.0,30.0,110.0,60.0
113.0,50.0,120.0,40.0,59.0,30.0,0.0,70.0,40.0,110.0,60.0
114.0,50.0,120.0,40.0,59.0,30.0,0.0,70.0,40.0,110.0,60.0
115.0,50.0,120.0,40.0,59.0,30.0,0.0,70.0,40.0,110.0,60.0
116.0,50.0,120.0,50.0,59.0,30.0,0.0,70.0,40.0,110.0,60.0
117.0,50.0,120.0,50.0,59.0,40.0,0.0,70.0,40.0,110.0,60.0
118.0,50.0,120.0,50.0,59.0,40.0,0.0,70.0,40.0,110.0,60.0
119.0,50.0,120.0,50.0,59.0,40.0,0.0,70.0,40.0,110.0,60.0
120.0,50.0,120.0,50.0,59.0,40.0,10.0,70.0,40.0,110.0,60.0
121.0,50.0,120.0,50.0,79.0,40.0,10.0,70.0,40.0,110.0,60.0
122.0,50.0,120.0,50.0,79.0,40.0,10.0,70.0,40.0,110.0,60.0
123.0,50.0,120.0,50.0,79.0,40.0,10.0,70.0,40.0,110.0,60.0
124.0,50.0,120.0,50.0,79.0,40.0,10.0,70.0,40.0,110.0,60.0
125.0,50.0,120.0,50.0,79.0,40.0,10.0,70.0,40.0,110.0,60.0
126.0,50.0,120.0,50.0,79.0,40.0,10.0,70.0,40.0,110.0,60.0
127.0,50.0,120.0,50.0,89.0,40.0,10.0,70.0,40.0,110.0,60.0
128.0,50.0,120.0,60.0,89.0,40.0,10.0,70.0,40.0,110.0,60.0
129.0,50.0,120.0,60.0,89.0,40.0,10.0,70.0,40.0,110.0,60.0
130.0,50.0,120.0,60.0,88.0,40.0,10.0,70.0,40.0,110.0,60.0
131.0,50.0,120.0,60.0,98.0,40.0,10.0,80.0,40.0,110.0,60.0
132.0,50.0,120.0,60.0,98.0,40.0,10.0,80.0,40.0,110.0,60.0
