"Time","S0 (inverter/medDeg, 1)","S0 (inverter/medDeg, 10)","S0 (inverter/medDeg, 2)","S0 (inverter/medDeg, 3)","S0 (inverter/medDeg, 4)","S0 (inverter/medDeg, 5)","S0 (inverter/medDeg, 6)","S0 (inverter/medDeg, 7)","S0 (inverter/medDeg, 8)","S0 (inverter/medDeg, 9)"
1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,10.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,10.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
9.0,0.0,10.0,10.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
10.0,0.0,10.0,10.0,0.0,10.0,28.0,0.0,0.0,0.0,9.0
11.0,0.0,10.0,10.0,0.0,10.0,28.0,0.0,0.0,0.0,9.0
12.0,0.0,10.0,9.0,0.0,10.0,28.0,0.0,0.0,0.0,9.0
13.0,0.0,10.0,9.0,0.0,10.0,28.0,0.0,0.0,0.0,9.0
14.0,0.0,10.0,9.0,0.0,10.0,28.0,0.0,0.0,10.0,17.0
15.0,0.0,10.0,9.0,0.0,10.0,28.0,0.0,10.0,10.0,17.0
16.0,0.0,10.0,9.0,0.0,10.0,27.0,0.0,10.0,10.0,17.0
17.0,0.0,10.0,9.0,0.0,10.0,27.0,0.0,20.0,10.0,17.0
18.0,0.0,10.0,9.0,0.0,10.0,27.0,0.0,18.0,9.0,17.0
19.0,0.0,10.0,9.0,0.0,9.0,27.0,0.0,18.0,9.0,17.0
20.0,0.0,10.0,9.0,0.0,9.0,27.0,0.0,18.0,9.0,17.0
21.0,0.0,10.0,9.0,0.0,9.0,27.0,10.0,18.0,9.0,17.0
22.0,0.0,10.0,9.0,0.0,9.0,36.0,10.0,17.0,9.0,17.0
23.0,0.0,10.0,9.0,10.0,9.0,36.0,10.0,17.0,9.0,17.0
24.0,10.0,10.0,9.0,10.0,9.0,36.0,10.0,17.0,9.0,17.0
25.0,10.0,10.0,18.0,10.0,9.0,36.0,10.0,17.0,9.0,17.0
26.0,10.0,10.0,18.0,10.0,19.0,45.0,10.0,17.0,9.0,16.0
27.0,10.0,10.0,18.0,10.0,19.0,44.0,10.0,17.0,9.0,16.0
28.0,10.0,10.0,18.0,10.0,19.0,44.0,10.0,17.0,9.0,16.0
29.0,10.0,10.0,18.0,10.0,19.0,43.0,10.0,16.0,9.0,16.0
