0,0
1.2257e-07,1.0356
2.4514e-07,2.0712
3.6772e-07,3.1068
1.5934e-06,13.463
2.8192e-06,23.819
4.0449e-06,34.175
1.6302e-05,137.74
2.8559e-05,241.3
4.0817e-05,344.86
0.00016339,1380.5
0.00028596,2416.1
0.00040853,3451.7
0.00053111,4487.3
0.0017568,14843
0.0029826,25198
0.0042083,35553
0.005434,45908
0.01436,1.213e+05
0.023287,1.9667e+05
0.032213,2.7202e+05
0.04114,3.4735e+05
0.050066,4.2265e+05
0.066947,5.6499e+05
0.083829,7.0726e+05
0.10071,8.4944e+05
0.11759,9.9154e+05
0.13447,1.1336e+06
0.16601,1.3987e+06
0.19756,1.6635e+06
0.2291,1.9281e+06
0.26064,2.1924e+06
0.29218,2.4564e+06
0.35078,2.9461e+06
0.40937,3.4348e+06
0.46797,3.9225e+06
0.52657,4.4093e+06
0.58516,4.8951e+06
0.69564,5.8084e+06
0.80612,6.7183e+06
0.9166,7.6247e+06
1.0271,8.5277e+06
1.1376,9.4274e+06
1.3486,1.1136e+07
1.5596,1.2833e+07
1.7706,1.4518e+07
1.9817,1.6191e+07
2.1927,1.7851e+07
2.5998,2.1021e+07
3.0069,2.4148e+07
3.414,2.7231e+07
3.8211,3.0272e+07
4.2282,3.327e+07
5.016,3.8957e+07
5.8038,4.4493e+07
6.5916,4.9883e+07
7.3794,5.513e+07
8.1673,6.0238e+07
9.6841,6.9695e+07
11.201,7.8675e+07
12.718,8.7203e+07
14.235,9.5302e+07
15.751,1.0299e+08
18.59,1.1636e+08
19.404,1.1996e+08
19.717,1.2132e+08
20.03,1.22e+08
20.343,1.2213e+08
20.657,1.2208e+08
20.97,1.2206e+08
21.399,1.2206e+08
21.827,1.221e+08
22.256,1.2214e+08
22.685,1.2217e+08
23.114,1.222e+08
25,1.2231e+08
26.886,1.2242e+08
28.772,1.2252e+08
30.658,1.2261e+08
35.258,1.2281e+08
39.858,1.2299e+08
40.354,1.2239e+08
40.85,1.2148e+08
41.346,1.2049e+08
41.842,1.1951e+08
43.58,1.1626e+08
45.319,1.1319e+08
46,1.1203e+08
