"Time","S0 (cascade/3_1, 1)","S0 (cascade/3_1, 10)","S0 (cascade/3_1, 2)","S0 (cascade/3_1, 3)","S0 (cascade/3_1, 4)","S0 (cascade/3_1, 5)","S0 (cascade/3_1, 6)","S0 (cascade/3_1, 7)","S0 (cascade/3_1, 8)","S0 (cascade/3_1, 9)"
69.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,40.0,30.0,20.0
70.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,40.0,30.0,20.0
71.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,40.0,30.0,20.0
72.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,40.0,40.0,20.0
73.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,50.0,40.0,20.0
74.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,50.0,40.0,20.0
75.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,50.0,40.0,20.0
76.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,50.0,40.0,20.0
77.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,50.0,40.0,20.0
78.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,50.0,40.0,20.0
79.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,50.0,40.0,20.0
80.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,50.0,40.0,20.0
81.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,50.0,40.0,20.0
82.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,50.0,40.0,20.0
83.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,50.0,40.0,20.0
84.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,50.0,40.0,20.0
85.0,30.0,40.0,30.0,20.0,60.0,30.0,10.0,50.0,40.0,20.0
86.0,30.0,40.0,30.0,30.0,60.0,30.0,10.0,50.0,40.0,20.0
87.0,30.0,40.0,30.0,30.0,60.0,30.0,10.0,50.0,40.0,20.0
88.0,30.0,40.0,30.0,30.0,60.0,30.0,10.0,50.0,40.0,20.0
89.0,30.0,40.0,30.0,30.0,60.0,30.0,10.0,50.0,40.0,20.0
90.0,30.0,40.0,40.0,30.0,60.0,30.0,10.0,50.0,40.0,20.0
91.0,30.0,40.0,40.0,30.0,60.0,30.0,10.0,50.0,40.0,20.0
92.0,30.0,40.0,40.0,30.0,70.0,30.0,10.0,50.0,40.0,20.0
93.0,30.0,40.0,40.0,30.0,70.0,30.0,10.0,50.0,40.0,20.0
94.0,30.0,40.0,40.0,30.0,69.0,30.0,10.0,50.0,40.0,20.0
95.0,30.0,40.0,40.0,30.0,69.0,30.0,10.0,50.0,40.0,20.0
96.0,30.0,40.0,40.0,30.0,69.0,30.0,10.0,50.0,40.0,20.0
97.0,30.0,40.0,40.0,40.0,69.0,30.0,10.0,50.0,40.0,20.0
98.0,30.0,40.0,40.0,40.0,69.0,30.0,10.0,50.0,40.0,20.0
99.0,30.0,40.0,40.0,40.0,69.0,30.0,20.0,50.0,40.0,20.0
100.0,30.0,40.0,40.0,40.0,69.0,30.0,20.0,50.0,40.0,20.0
101.0,30.0,40.0,40.0,40.0,69.0,30.0,20.0,50.0,39.0,20.0
102.0,30.0,40.0,40.0,40.0,69.0,30.0,20.0,50.0,39.0,20.0
103.0,30.0,40.0,50.0,40.0,69.0,30.0,20.0,60.0,39.0,20.0
104.0,30.0,40.0,50.0,50.0,69.0,30.0,30.0,60.0,39.0,20.0
105.0,29.0,40.0,50.0,50.0,69.0,30.0,30.0,60.0,39.0,20.0
106.0,39.0,50.0,50.0,50.0,69.0,30.0,30.0,70.0,39.0,20.0
107.0,39.0,50.0,50.0,50.0,69.0,30.0,30.0,70.0,39.0,20.0
108.0,39.0,50.0,50.0,50.0,69.0,30.0,30.0,70.0,39.0,20.0
109.0,39.0,50.0,50.0,50.0,69.0,30.0,30.0,70.0,39.0,20.0
110.0,39.0,50.0,50.0,60.0,69.0,30.0,30.0,70.0,39.0,20.0
111.0,39.0,50.0,50.0,60.0,69.0,30.0,30.0,70.0,39.0,20.0
112.0,39.0,50.0,50.0,60.0,69.0,30.0,30.0,70.0,49.0,20.0
113.0,39.0,50.0,50.0,60.0,79.0,30.0,30.0,70.0,49.0,20.0
114.0,39.0,50.0,50.0,60.0,79.0,30.0,30.0,70.0,49.0,20.0
115.0,39.0,50.0,50.0,60.0,79.0,30.0,30.0,70.0,49.0,20.0
116.0,39.0,50.0,50.0,60.0,79.0,30.0,30.0,70.0,49.0,20.0
117.0,39.0,50.0,50.0,60.0,79.0,30.0,40.0,70.0,49.0,20.0
118.0,39.0,50.0,50.0,60.0,79.0,30.0,40.0,70.0,49.0,20.0
119.0,39.0,50.0,50.0,60.0,79.0,30.0,40.0,70.0,49.0,20.0
120.0,39.0,50.0,50.0,60.0,79.0,30.0,40.0,70.0,59.0,20.0
121.0,39.0,60.0,50.0,60.0,79.0,30.0,40.0,70.0,59.0,20.0
122.0,39.0,60.0,50.0,60.0,79.0,30.0,40.0,70.0,59.0,20.0
123.0,39.0,60.0,50.0,60.0,79.0,30.0,40.0,70.0,59.0,20.0
124.0,39.0,60.0,50.0,60.0,79.0,30.0,40.0,70.0,59.0,20.0
125.0,39.0,60.0,50.0,60.0,79.0,30.0,40.0,70.0,59.0,20.0
126.0,39.0,60.0,50.0,60.0,79.0,30.0,40.0,70.0,59.0,20.0
127.0,39.0,60.0,50.0,60.0,79.0,30.0,40.0,70.0,69.0,20.0
128.0,39.0,60.0,50.0,60.0,79.0,30.0,40.0,70.0,69.0,20.0
129.0,39.0,70.0,50.0,60.0,79.0,30.0,40.0,70.0,69.0,20.0
130.0,39.0,70.0,50.0,60.0,79.0,30.0,40.0,70.0,69.0,20.0
131.0,39.0,70.0,50.0,60.0,89.0,30.0,40.0,70.0,69.0,20.0
132.0,39.0,70.0,50.0,60.0,89.0,30.0,40.0,80.0,69.0,20.0
133.0,39.0,70.0,50.0,60.0,89.0,30.0,40.0,80.0,69.0,20.0
134.0,39.0,70.0,50.0,60.0,89.0,30.0,40.0,80.0,69.0,20.0
135.0,39.0,70.0,50.0,60.0,89.0,30.0,40.0,80.0,69.0,20.0
136.0,39.0,70.0,50.0,70.0,89.0,30.0,50.0,80.0,69.0,20.0
137.0,39.0,80.0,50.0,70.0,89.0,30.0,50.0,80.0,69.0,20.0
138.0,39.0,80.0,50.0,70.0,89.0,30.0,50.0,80.0,69.0,20.0
139.0,49.0,80.0,50.0,70.0,89.0,30.0,50.0,80.0,69.0,20.0
140.0,49.0,80.0,50.0,70.0,89.0,30.0,50.0,90.0,69.0,20.0
141.0,49.0,80.0,50.0,70.0,89.0,30.0,50.0,90.0,69.0,20.0
142.0,49.0,80.0,50.0,70.0,89.0,30.0,50.0,90.0,69.0,20.0
143.0,49.0,80.0,50.0,70.0,89.0,30.0,50.0,90.0,69.0,20.0
144.0,49.0,80.0,50.0,70.0,89.0,30.0,50.0,90.0,69.0,20.0
145.0,49.0,80.0,50.0,70.0,89.0,30.0,50.0,90.0,68.0,20.0
146.0,49.0,80.0,50.0,70.0,89.0,30.0,50.0,90.0,68.0,20.0
147.0,49.0,80.0,50.0,70.0,89.0,30.0,50.0,90.0,68.0,20.0
148.0,49.0,80.0,50.0,70.0,89.0,30.0,50.0,90.0,68.0,20.0
149.0,59.0,80.0,50.0,70.0,89.0,30.0,50.0,90.0,68.0,20.0
150.0,59.0,80.0,50.0,70.0,89.0,30.0,50.0,90.0,68.0,20.0
151.0,59.0,80.0,50.0,70.0,89.0,30.0,50.0,90.0,67.0,20.0
152.0,69.0,80.0,50.0,70.0,89.0,30.0,50.0,90.0,67.0,20.0
153.0,69.0,80.0,50.0,70.0,89.0,30.0,50.0,90.0,67.0,20.0
154.0,69.0,80.0,50.0,70.0,89.0,30.0,50.0,90.0,67.0,20.0
155.0,69.0,80.0,50.0,70.0,89.0,30.0,50.0,90.0,67.0,20.0
156.0,69.0,80.0,50.0,80.0,99.0,30.0,50.0,90.0,67.0,20.0
157.0,69.0,80.0,50.0,80.0,99.0,30.0,50.0,90.0,67.0,20.0
158.0,69.0,80.0,50.0,80.0,99.0,40.0,50.0,90.0,67.0,20.0
159.0,68.0,80.0,50.0,80.0,99.0,40.0,50.0,90.0,67.0,20.0
160.0,68.0,80.0,50.0,80.0,99.0,40.0,60.0,90.0,67.0,30.0
161.0,88.0,80.0,50.0,80.0,99.0,40.0,60.0,90.0,67.0,30.0
162.0,88.0,80.0,50.0,80.0,99.0,40.0,60.0,90.0,67.0,30.0
163.0,88.0,80.0,50.0,80.0,99.0,60.0,60.0,90.0,67.0,30.0
164.0,88.0,80.0,50.0,80.0,99.0,60.0,60.0,90.0,67.0,30.0
165.0,88.0,80.0,50.0,80.0,99.0,60.0,60.0,90.0,77.0,30.0
166.0,88.0,80.0,50.0,80.0,109.0,60.0,60.0,90.0,77.0,30.0
167.0,88.0,80.0,50.0,80.0,119.0,60.0,60.0,90.0,77.0,30.0
168.0,88.0,80.0,60.0,100.0,119.0,60.0,60.0,90.0,87.0,30.0
169.0,88.0,80.0,60.0,100.0,119.0,60.0,70.0,90.0,87.0,30.0
170.0,88.0,80.0,60.0,100.0,119.0,60.0,70.0,100.0,87.0,30.0
171.0,88.0,80.0,60.0,100.0,119.0,60.0,70.0,100.0,97.0,30.0
172.0,88.0,80.0,60.0,100.0,119.0,60.0,70.0,100.0,97.0,30.0
173.0,88.0,80.0,60.0,100.0,119.0,60.0,70.0,100.0,97.0,30.0
174.0,98.0,80.0,60.0,100.0,119.0,70.0,70.0,110.0,97.0,30.0
175.0,98.0,80.0,60.0,100.0,119.0,70.0,70.0,120.0,97.0,30.0
176.0,98.0,80.0,60.0,100.0,129.0,70.0,80.0,120.0,97.0,30.0
177.0,98.0,80.0,60.0,100.0,129.0,70.0,80.0,120.0,97.0,30.0
178.0,98.0,80.0,60.0,100.0,129.0,70.0,80.0,120.0,97.0,30.0
179.0,98.0,80.0,60.0,100.0,129.0,70.0,80.0,120.0,97.0,30.0
180.0,98.0,80.0,60.0,100.0,129.0,70.0,80.0,120.0,97.0,30.0
181.0,98.0,80.0,60.0,100.0,129.0,70.0,80.0,120.0,97.0,30.0
182.0,98.0,80.0,60.0,100.0,129.0,70.0,80.0,120.0,97.0,30.0
183.0,98.0,80.0,60.0,100.0,129.0,70.0,80.0,120.0,97.0,30.0
184.0,98.0,80.0,60.0,100.0,129.0,70.0,80.0,120.0,97.0,30.0
185.0,98.0,80.0,60.0,100.0,129.0,70.0,80.0,120.0,97.0,30.0
186.0,98.0,80.0,60.0,100.0,129.0,70.0,90.0,120.0,97.0,30.0
