"Time","S2 (cascade/1_2, 1)","S2 (cascade/1_2, 10)","S2 (cascade/1_2, 2)","S2 (cascade/1_2, 3)","S2 (cascade/1_2, 4)","S2 (cascade/1_2, 5)","S2 (cascade/1_2, 6)","S2 (cascade/1_2, 7)","S2 (cascade/1_2, 8)","S2 (cascade/1_2, 9)"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
6.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0
7.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0
8.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,10.0,0.0
9.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,10.0,0.0
10.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,9.0,0.0
11.0,0.0,0.0,0.0,10.0,9.0,10.0,0.0,0.0,9.0,0.0
12.0,0.0,0.0,0.0,8.0,9.0,10.0,0.0,0.0,9.0,0.0
13.0,0.0,0.0,0.0,8.0,9.0,10.0,0.0,0.0,9.0,0.0
14.0,0.0,0.0,10.0,8.0,9.0,10.0,0.0,0.0,9.0,0.0
15.0,0.0,0.0,10.0,8.0,9.0,9.0,0.0,0.0,9.0,0.0
16.0,0.0,0.0,10.0,8.0,9.0,9.0,0.0,0.0,9.0,0.0
17.0,0.0,0.0,10.0,8.0,9.0,9.0,0.0,0.0,8.0,0.0
18.0,0.0,0.0,10.0,8.0,9.0,8.0,0.0,0.0,8.0,0.0
19.0,0.0,0.0,10.0,8.0,9.0,8.0,0.0,0.0,8.0,0.0
20.0,0.0,0.0,10.0,8.0,9.0,8.0,0.0,0.0,8.0,0.0
21.0,0.0,0.0,9.0,8.0,8.0,8.0,0.0,0.0,8.0,0.0
22.0,0.0,0.0,8.0,8.0,8.0,8.0,0.0,0.0,8.0,0.0
23.0,0.0,0.0,8.0,8.0,8.0,8.0,0.0,0.0,8.0,0.0
24.0,0.0,0.0,8.0,8.0,8.0,8.0,0.0,0.0,8.0,0.0
25.0,0.0,0.0,8.0,8.0,8.0,8.0,0.0,0.0,8.0,0.0
26.0,0.0,0.0,8.0,8.0,8.0,8.0,0.0,0.0,8.0,0.0
27.0,0.0,10.0,8.0,8.0,8.0,8.0,0.0,0.0,8.0,0.0
28.0,0.0,10.0,8.0,8.0,8.0,8.0,0.0,0.0,18.0,0.0
29.0,0.0,10.0,8.0,8.0,8.0,8.0,0.0,0.0,18.0,0.0
30.0,0.0,10.0,8.0,8.0,8.0,8.0,0.0,0.0,18.0,0.0
31.0,0.0,10.0,8.0,8.0,8.0,7.0,0.0,0.0,18.0,0.0
32.0,0.0,10.0,8.0,8.0,8.0,5.0,0.0,0.0,18.0,0.0
33.0,0.0,10.0,8.0,8.0,8.0,5.0,0.0,0.0,18.0,0.0
34.0,0.0,10.0,8.0,8.0,8.0,5.0,0.0,0.0,17.0,0.0
35.0,0.0,10.0,8.0,8.0,8.0,5.0,0.0,0.0,17.0,0.0
36.0,0.0,10.0,8.0,8.0,8.0,5.0,0.0,0.0,17.0,0.0
37.0,0.0,10.0,8.0,8.0,8.0,5.0,0.0,0.0,17.0,0.0
38.0,0.0,10.0,8.0,8.0,8.0,5.0,0.0,0.0,16.0,0.0
39.0,0.0,10.0,8.0,8.0,8.0,5.0,0.0,0.0,15.0,0.0
40.0,0.0,10.0,8.0,8.0,7.0,5.0,0.0,0.0,15.0,0.0
41.0,0.0,20.0,8.0,8.0,7.0,5.0,0.0,0.0,15.0,10.0
42.0,0.0,20.0,8.0,8.0,7.0,5.0,0.0,0.0,15.0,10.0
43.0,0.0,20.0,18.0,8.0,7.0,5.0,0.0,0.0,15.0,10.0
44.0,0.0,20.0,18.0,8.0,7.0,5.0,0.0,0.0,15.0,10.0
45.0,0.0,20.0,18.0,8.0,7.0,5.0,0.0,0.0,15.0,10.0
46.0,0.0,19.0,17.0,7.0,7.0,3.0,0.0,0.0,15.0,10.0
47.0,0.0,19.0,17.0,7.0,7.0,3.0,0.0,0.0,15.0,10.0
48.0,0.0,19.0,27.0,7.0,7.0,3.0,0.0,0.0,15.0,10.0
49.0,0.0,19.0,27.0,7.0,7.0,3.0,0.0,0.0,15.0,10.0
50.0,0.0,19.0,27.0,6.0,7.0,3.0,0.0,0.0,15.0,10.0
51.0,0.0,19.0,27.0,6.0,7.0,3.0,0.0,0.0,15.0,10.0
52.0,0.0,18.0,27.0,6.0,7.0,3.0,0.0,0.0,15.0,10.0
53.0,0.0,18.0,27.0,6.0,7.0,3.0,0.0,0.0,15.0,10.0
54.0,0.0,17.0,27.0,6.0,7.0,3.0,0.0,0.0,15.0,9.0
55.0,0.0,17.0,27.0,6.0,7.0,3.0,0.0,0.0,15.0,7.0
56.0,10.0,17.0,37.0,6.0,7.0,3.0,0.0,0.0,15.0,6.0
57.0,10.0,17.0,37.0,6.0,7.0,3.0,0.0,0.0,15.0,6.0
58.0,10.0,16.0,35.0,6.0,7.0,3.0,0.0,0.0,15.0,6.0
59.0,10.0,16.0,35.0,6.0,7.0,3.0,0.0,0.0,14.0,5.0
60.0,10.0,16.0,35.0,6.0,7.0,3.0,0.0,0.0,14.0,5.0
61.0,10.0,16.0,35.0,6.0,7.0,3.0,0.0,0.0,14.0,5.0
62.0,20.0,16.0,35.0,6.0,7.0,3.0,0.0,0.0,14.0,5.0
63.0,20.0,16.0,35.0,6.0,7.0,3.0,0.0,0.0,14.0,5.0
64.0,20.0,16.0,35.0,6.0,6.0,3.0,0.0,0.0,14.0,5.0
65.0,20.0,16.0,35.0,6.0,6.0,3.0,0.0,0.0,14.0,5.0
66.0,20.0,16.0,35.0,6.0,6.0,3.0,0.0,0.0,23.0,5.0
67.0,20.0,16.0,34.0,6.0,6.0,3.0,0.0,0.0,23.0,5.0
68.0,19.0,16.0,34.0,6.0,6.0,13.0,0.0,0.0,23.0,5.0
69.0,19.0,16.0,33.0,6.0,6.0,13.0,0.0,0.0,23.0,5.0
70.0,19.0,16.0,32.0,6.0,6.0,13.0,0.0,0.0,23.0,5.0
71.0,19.0,16.0,32.0,6.0,6.0,13.0,0.0,0.0,33.0,5.0
72.0,19.0,16.0,32.0,6.0,6.0,13.0,0.0,0.0,33.0,5.0
73.0,19.0,16.0,40.0,6.0,6.0,13.0,0.0,0.0,33.0,5.0
74.0,19.0,16.0,39.0,5.0,6.0,13.0,0.0,0.0,33.0,5.0
75.0,19.0,16.0,38.0,5.0,5.0,13.0,0.0,0.0,32.0,5.0
76.0,39.0,15.0,38.0,5.0,5.0,13.0,0.0,0.0,32.0,5.0
77.0,38.0,15.0,48.0,5.0,5.0,13.0,0.0,0.0,32.0,5.0
78.0,38.0,13.0,48.0,4.0,5.0,12.0,0.0,0.0,32.0,5.0
79.0,38.0,13.0,58.0,4.0,5.0,12.0,10.0,0.0,32.0,5.0
