"Time","S1 (cascade/2_3, 1)","S1 (cascade/2_3, 10)","S1 (cascade/2_3, 2)","S1 (cascade/2_3, 3)","S1 (cascade/2_3, 4)","S1 (cascade/2_3, 5)","S1 (cascade/2_3, 6)","S1 (cascade/2_3, 7)","S1 (cascade/2_3, 8)","S1 (cascade/2_3, 9)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
2.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0
3.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0
4.0,19.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0
5.0,19.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0
6.0,19.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,9.0,0.0
7.0,28.0,0.0,10.0,9.0,10.0,10.0,10.0,0.0,9.0,0.0
8.0,28.0,0.0,10.0,9.0,10.0,10.0,10.0,0.0,9.0,0.0
9.0,28.0,0.0,10.0,9.0,10.0,10.0,10.0,0.0,9.0,0.0
10.0,28.0,0.0,10.0,9.0,10.0,10.0,20.0,0.0,9.0,0.0
11.0,38.0,10.0,10.0,9.0,20.0,10.0,20.0,0.0,9.0,0.0
12.0,37.0,10.0,9.0,9.0,20.0,10.0,20.0,0.0,9.0,10.0
13.0,37.0,10.0,9.0,9.0,19.0,10.0,20.0,0.0,9.0,10.0
14.0,37.0,10.0,9.0,9.0,19.0,10.0,20.0,0.0,7.0,20.0
15.0,37.0,8.0,19.0,9.0,29.0,9.0,20.0,0.0,7.0,20.0
16.0,37.0,8.0,19.0,9.0,29.0,9.0,19.0,10.0,7.0,20.0
17.0,37.0,8.0,18.0,9.0,29.0,9.0,19.0,10.0,7.0,20.0
18.0,37.0,8.0,18.0,9.0,39.0,9.0,18.0,10.0,7.0,20.0
19.0,37.0,8.0,18.0,9.0,39.0,9.0,28.0,10.0,7.0,20.0
20.0,37.0,8.0,18.0,19.0,39.0,9.0,28.0,10.0,7.0,20.0
21.0,36.0,8.0,28.0,19.0,38.0,9.0,28.0,10.0,7.0,20.0
22.0,36.0,8.0,28.0,19.0,37.0,9.0,28.0,10.0,7.0,30.0
23.0,36.0,8.0,28.0,19.0,37.0,9.0,28.0,10.0,7.0,29.0
24.0,36.0,8.0,28.0,19.0,36.0,9.0,27.0,9.0,7.0,39.0
25.0,36.0,8.0,27.0,19.0,36.0,9.0,27.0,9.0,7.0,38.0
26.0,36.0,8.0,27.0,19.0,33.0,9.0,27.0,9.0,6.0,38.0
27.0,35.0,8.0,27.0,19.0,32.0,9.0,26.0,9.0,6.0,38.0
28.0,32.0,8.0,36.0,19.0,32.0,9.0,26.0,9.0,6.0,38.0
29.0,31.0,8.0,36.0,19.0,31.0,9.0,26.0,9.0,6.0,47.0
30.0,30.0,8.0,36.0,19.0,31.0,9.0,26.0,9.0,6.0,47.0
31.0,29.0,8.0,34.0,19.0,31.0,9.0,26.0,9.0,6.0,47.0
32.0,28.0,8.0,34.0,19.0,31.0,9.0,24.0,9.0,6.0,47.0
33.0,28.0,8.0,34.0,19.0,30.0,9.0,24.0,8.0,5.0,47.0
34.0,28.0,6.0,32.0,19.0,29.0,9.0,24.0,8.0,5.0,46.0
35.0,28.0,6.0,31.0,19.0,29.0,9.0,24.0,8.0,5.0,46.0
36.0,28.0,6.0,31.0,19.0,29.0,9.0,24.0,8.0,5.0,45.0
37.0,28.0,6.0,31.0,19.0,29.0,9.0,24.0,8.0,5.0,44.0
38.0,28.0,6.0,31.0,29.0,28.0,9.0,24.0,8.0,5.0,44.0
39.0,28.0,6.0,31.0,29.0,28.0,8.0,24.0,8.0,5.0,44.0
40.0,28.0,6.0,31.0,28.0,27.0,8.0,24.0,8.0,5.0,53.0
41.0,27.0,6.0,31.0,28.0,27.0,8.0,24.0,7.0,5.0,53.0
42.0,27.0,6.0,31.0,28.0,27.0,8.0,24.0,7.0,15.0,52.0
43.0,27.0,6.0,30.0,28.0,27.0,8.0,24.0,16.0,15.0,51.0
44.0,27.0,6.0,29.0,28.0,27.0,8.0,24.0,16.0,14.0,51.0
45.0,27.0,6.0,29.0,28.0,27.0,8.0,24.0,16.0,14.0,51.0
46.0,26.0,5.0,29.0,38.0,25.0,8.0,23.0,15.0,14.0,51.0
47.0,26.0,5.0,39.0,38.0,24.0,8.0,23.0,25.0,14.0,51.0
48.0,26.0,5.0,39.0,38.0,24.0,8.0,23.0,24.0,14.0,50.0
49.0,26.0,5.0,38.0,38.0,23.0,8.0,22.0,24.0,14.0,50.0
50.0,26.0,5.0,38.0,38.0,23.0,8.0,22.0,34.0,14.0,50.0
51.0,26.0,5.0,38.0,38.0,23.0,8.0,22.0,34.0,14.0,50.0
52.0,26.0,5.0,48.0,38.0,23.0,8.0,22.0,34.0,14.0,50.0
53.0,26.0,5.0,48.0,38.0,23.0,18.0,22.0,44.0,14.0,50.0
54.0,25.0,5.0,48.0,37.0,23.0,18.0,22.0,43.0,14.0,50.0
55.0,35.0,5.0,68.0,45.0,23.0,18.0,21.0,43.0,14.0,60.0
56.0,45.0,5.0,77.0,45.0,22.0,18.0,21.0,43.0,14.0,58.0
57.0,45.0,5.0,76.0,44.0,22.0,18.0,21.0,42.0,14.0,57.0
58.0,44.0,5.0,76.0,44.0,22.0,18.0,21.0,41.0,14.0,57.0
59.0,44.0,5.0,85.0,43.0,21.0,18.0,21.0,41.0,13.0,55.0
60.0,44.0,5.0,85.0,42.0,20.0,18.0,20.0,51.0,13.0,55.0
61.0,43.0,5.0,83.0,42.0,20.0,18.0,20.0,51.0,13.0,55.0
62.0,42.0,15.0,82.0,42.0,20.0,18.0,20.0,51.0,13.0,55.0
63.0,40.0,15.0,82.0,41.0,29.0,18.0,20.0,50.0,13.0,55.0
64.0,40.0,25.0,82.0,41.0,29.0,18.0,20.0,50.0,13.0,54.0
65.0,39.0,25.0,82.0,39.0,28.0,18.0,19.0,49.0,13.0,54.0
66.0,39.0,25.0,82.0,39.0,28.0,18.0,18.0,49.0,13.0,53.0
67.0,39.0,24.0,80.0,49.0,28.0,18.0,18.0,49.0,13.0,52.0
68.0,38.0,24.0,79.0,49.0,28.0,18.0,18.0,49.0,13.0,52.0
69.0,38.0,34.0,77.0,49.0,28.0,17.0,17.0,49.0,13.0,52.0
70.0,38.0,34.0,77.0,49.0,28.0,17.0,17.0,49.0,13.0,51.0
71.0,38.0,32.0,75.0,49.0,27.0,16.0,17.0,49.0,12.0,60.0
72.0,37.0,32.0,74.0,48.0,27.0,15.0,17.0,49.0,12.0,60.0
73.0,37.0,30.0,74.0,47.0,27.0,15.0,17.0,48.0,12.0,60.0
