"Time","S1 (cascade/1_2, 1)","S1 (cascade/1_2, 10)","S1 (cascade/1_2, 2)","S1 (cascade/1_2, 3)","S1 (cascade/1_2, 4)","S1 (cascade/1_2, 5)","S1 (cascade/1_2, 6)","S1 (cascade/1_2, 7)","S1 (cascade/1_2, 8)","S1 (cascade/1_2, 9)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
2.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0
3.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0
4.0,19.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0
5.0,17.0,0.0,0.0,9.0,0.0,0.0,10.0,0.0,7.0,0.0
6.0,16.0,0.0,0.0,9.0,0.0,0.0,20.0,0.0,7.0,0.0
7.0,16.0,0.0,0.0,9.0,10.0,10.0,20.0,0.0,7.0,0.0
8.0,16.0,0.0,0.0,7.0,8.0,10.0,28.0,0.0,6.0,0.0
9.0,14.0,0.0,0.0,6.0,7.0,9.0,26.0,0.0,6.0,0.0
10.0,14.0,0.0,9.0,5.0,7.0,9.0,24.0,0.0,5.0,0.0
11.0,14.0,10.0,8.0,14.0,7.0,9.0,32.0,0.0,5.0,0.0
12.0,14.0,8.0,8.0,13.0,6.0,9.0,27.0,0.0,5.0,10.0
13.0,14.0,8.0,7.0,13.0,5.0,9.0,25.0,0.0,4.0,9.0
14.0,14.0,8.0,7.0,13.0,5.0,9.0,24.0,0.0,4.0,9.0
15.0,12.0,8.0,7.0,13.0,5.0,9.0,23.0,0.0,4.0,9.0
16.0,12.0,7.0,6.0,13.0,4.0,9.0,23.0,0.0,4.0,8.0
17.0,12.0,6.0,6.0,12.0,3.0,8.0,20.0,0.0,4.0,8.0
18.0,12.0,6.0,6.0,11.0,3.0,7.0,20.0,0.0,4.0,8.0
19.0,9.0,5.0,5.0,11.0,3.0,7.0,19.0,0.0,4.0,18.0
20.0,9.0,5.0,5.0,11.0,2.0,6.0,17.0,0.0,3.0,15.0
21.0,8.0,5.0,5.0,11.0,2.0,6.0,15.0,0.0,3.0,15.0
22.0,7.0,5.0,5.0,10.0,2.0,6.0,23.0,0.0,3.0,15.0
23.0,6.0,5.0,5.0,10.0,2.0,6.0,21.0,0.0,3.0,15.0
24.0,15.0,5.0,4.0,8.0,2.0,6.0,20.0,0.0,3.0,14.0
25.0,15.0,4.0,3.0,8.0,2.0,6.0,20.0,0.0,3.0,13.0
26.0,14.0,4.0,3.0,8.0,1.0,5.0,19.0,0.0,3.0,13.0
27.0,12.0,4.0,3.0,7.0,0.0,5.0,18.0,0.0,3.0,13.0
28.0,11.0,4.0,3.0,6.0,0.0,5.0,18.0,0.0,3.0,12.0
29.0,10.0,13.0,3.0,6.0,0.0,5.0,16.0,0.0,3.0,12.0
30.0,9.0,10.0,3.0,6.0,0.0,5.0,16.0,0.0,3.0,12.0
31.0,9.0,9.0,3.0,6.0,0.0,15.0,11.0,0.0,3.0,12.0
32.0,9.0,8.0,3.0,6.0,0.0,15.0,10.0,0.0,3.0,21.0
33.0,9.0,8.0,3.0,5.0,0.0,15.0,20.0,10.0,3.0,17.0
34.0,8.0,7.0,2.0,5.0,0.0,14.0,19.0,10.0,3.0,14.0
35.0,7.0,7.0,2.0,5.0,0.0,12.0,18.0,10.0,3.0,14.0
36.0,7.0,7.0,2.0,15.0,0.0,12.0,17.0,10.0,3.0,13.0
37.0,7.0,6.0,2.0,14.0,0.0,12.0,16.0,10.0,2.0,13.0
38.0,5.0,6.0,2.0,14.0,0.0,12.0,15.0,8.0,2.0,13.0
39.0,5.0,5.0,2.0,14.0,0.0,11.0,12.0,7.0,2.0,12.0
40.0,5.0,5.0,1.0,12.0,0.0,11.0,12.0,7.0,2.0,12.0
41.0,14.0,5.0,0.0,12.0,9.0,10.0,11.0,7.0,2.0,12.0
42.0,13.0,5.0,0.0,11.0,9.0,9.0,11.0,7.0,2.0,22.0
43.0,13.0,4.0,0.0,11.0,9.0,9.0,11.0,17.0,2.0,21.0
44.0,23.0,4.0,0.0,11.0,9.0,9.0,10.0,17.0,2.0,21.0
45.0,23.0,4.0,0.0,10.0,9.0,9.0,10.0,16.0,2.0,21.0
46.0,21.0,4.0,0.0,10.0,8.0,9.0,10.0,15.0,1.0,20.0
47.0,21.0,4.0,0.0,9.0,8.0,7.0,10.0,13.0,1.0,30.0
48.0,19.0,4.0,0.0,7.0,17.0,7.0,10.0,11.0,1.0,26.0
49.0,19.0,4.0,0.0,7.0,16.0,7.0,10.0,10.0,1.0,25.0
50.0,19.0,4.0,0.0,6.0,16.0,5.0,10.0,10.0,1.0,25.0
51.0,18.0,4.0,0.0,6.0,15.0,5.0,9.0,9.0,1.0,23.0
52.0,16.0,3.0,0.0,6.0,15.0,5.0,7.0,9.0,1.0,20.0
53.0,16.0,2.0,0.0,6.0,15.0,5.0,7.0,7.0,1.0,18.0
54.0,16.0,1.0,0.0,6.0,12.0,4.0,7.0,7.0,1.0,18.0
55.0,15.0,1.0,0.0,6.0,12.0,4.0,7.0,7.0,1.0,17.0
56.0,14.0,1.0,0.0,6.0,12.0,4.0,7.0,7.0,1.0,16.0
57.0,14.0,1.0,0.0,6.0,11.0,3.0,7.0,7.0,1.0,16.0
58.0,14.0,1.0,0.0,5.0,20.0,3.0,7.0,7.0,1.0,15.0
59.0,14.0,1.0,0.0,5.0,20.0,3.0,6.0,7.0,1.0,14.0
60.0,13.0,1.0,10.0,5.0,19.0,3.0,6.0,6.0,1.0,14.0
61.0,13.0,1.0,10.0,15.0,17.0,12.0,6.0,6.0,1.0,14.0
62.0,13.0,1.0,9.0,13.0,16.0,12.0,5.0,6.0,1.0,14.0
63.0,11.0,1.0,8.0,13.0,16.0,11.0,5.0,6.0,1.0,14.0
64.0,11.0,1.0,8.0,9.0,15.0,10.0,5.0,6.0,1.0,24.0
65.0,20.0,1.0,7.0,8.0,15.0,10.0,4.0,5.0,1.0,22.0
66.0,18.0,1.0,16.0,8.0,15.0,7.0,4.0,5.0,1.0,21.0
67.0,18.0,1.0,15.0,8.0,15.0,7.0,4.0,5.0,0.0,18.0
68.0,18.0,1.0,13.0,8.0,14.0,7.0,4.0,5.0,0.0,18.0
69.0,17.0,1.0,12.0,8.0,14.0,7.0,3.0,4.0,0.0,18.0
70.0,16.0,10.0,10.0,7.0,13.0,7.0,3.0,13.0,0.0,16.0
71.0,15.0,9.0,9.0,7.0,12.0,7.0,3.0,12.0,0.0,15.0
72.0,14.0,9.0,9.0,7.0,12.0,7.0,3.0,12.0,0.0,14.0
73.0,14.0,8.0,8.0,7.0,11.0,7.0,2.0,12.0,0.0,13.0
