"Time","S1 (cascade/2_1, 1)","S1 (cascade/2_1, 10)","S1 (cascade/2_1, 2)","S1 (cascade/2_1, 3)","S1 (cascade/2_1, 4)","S1 (cascade/2_1, 5)","S1 (cascade/2_1, 6)","S1 (cascade/2_1, 7)","S1 (cascade/2_1, 8)","S1 (cascade/2_1, 9)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
2.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0
3.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,9.0,0.0
4.0,19.0,0.0,0.0,10.0,0.0,0.0,20.0,0.0,9.0,0.0
5.0,19.0,0.0,10.0,10.0,0.0,0.0,20.0,0.0,9.0,0.0
6.0,19.0,0.0,10.0,10.0,0.0,0.0,20.0,0.0,9.0,0.0
7.0,28.0,0.0,9.0,10.0,10.0,10.0,30.0,0.0,9.0,0.0
8.0,28.0,0.0,9.0,9.0,10.0,10.0,29.0,0.0,9.0,0.0
9.0,28.0,0.0,9.0,9.0,10.0,10.0,29.0,10.0,9.0,0.0
10.0,28.0,0.0,9.0,9.0,10.0,10.0,28.0,10.0,9.0,0.0
11.0,38.0,10.0,9.0,9.0,10.0,10.0,28.0,10.0,9.0,0.0
12.0,37.0,10.0,9.0,9.0,10.0,10.0,28.0,10.0,9.0,10.0
13.0,37.0,10.0,9.0,9.0,9.0,10.0,28.0,10.0,9.0,10.0
14.0,37.0,10.0,9.0,9.0,9.0,10.0,28.0,10.0,9.0,20.0
15.0,37.0,8.0,9.0,9.0,9.0,10.0,27.0,10.0,7.0,20.0
16.0,37.0,8.0,9.0,9.0,9.0,9.0,27.0,10.0,7.0,20.0
17.0,37.0,8.0,9.0,9.0,9.0,9.0,26.0,10.0,7.0,20.0
18.0,37.0,8.0,9.0,9.0,8.0,9.0,25.0,10.0,7.0,20.0
19.0,37.0,8.0,9.0,9.0,8.0,9.0,25.0,10.0,7.0,20.0
20.0,37.0,8.0,9.0,9.0,8.0,9.0,25.0,10.0,7.0,20.0
21.0,36.0,8.0,9.0,19.0,8.0,9.0,25.0,10.0,7.0,20.0
22.0,36.0,8.0,9.0,19.0,8.0,9.0,25.0,10.0,7.0,30.0
23.0,36.0,8.0,9.0,19.0,8.0,9.0,25.0,20.0,7.0,29.0
24.0,36.0,8.0,8.0,19.0,8.0,9.0,25.0,19.0,7.0,39.0
25.0,36.0,8.0,8.0,19.0,7.0,9.0,24.0,18.0,7.0,38.0
26.0,36.0,8.0,7.0,19.0,6.0,9.0,23.0,18.0,7.0,38.0
27.0,36.0,8.0,7.0,19.0,6.0,9.0,23.0,18.0,7.0,38.0
28.0,33.0,8.0,7.0,19.0,6.0,9.0,23.0,18.0,7.0,38.0
29.0,32.0,8.0,7.0,19.0,6.0,9.0,23.0,18.0,7.0,47.0
30.0,30.0,8.0,7.0,19.0,6.0,9.0,23.0,18.0,7.0,47.0
31.0,29.0,8.0,7.0,19.0,6.0,9.0,23.0,18.0,7.0,47.0
32.0,29.0,8.0,7.0,19.0,6.0,9.0,23.0,17.0,7.0,47.0
33.0,28.0,8.0,7.0,19.0,6.0,9.0,23.0,17.0,7.0,47.0
34.0,28.0,8.0,7.0,19.0,6.0,9.0,23.0,17.0,7.0,46.0
35.0,28.0,8.0,7.0,19.0,16.0,9.0,23.0,17.0,7.0,46.0
36.0,28.0,8.0,7.0,19.0,16.0,9.0,23.0,17.0,7.0,45.0
37.0,28.0,8.0,6.0,19.0,16.0,9.0,23.0,17.0,7.0,44.0
38.0,28.0,8.0,6.0,19.0,16.0,9.0,23.0,17.0,7.0,44.0
39.0,28.0,7.0,6.0,29.0,15.0,9.0,22.0,17.0,7.0,44.0
40.0,28.0,7.0,6.0,29.0,15.0,9.0,21.0,17.0,7.0,53.0
41.0,27.0,7.0,6.0,28.0,15.0,8.0,21.0,17.0,7.0,53.0
42.0,27.0,7.0,6.0,28.0,24.0,8.0,21.0,17.0,7.0,52.0
43.0,27.0,7.0,6.0,28.0,24.0,8.0,21.0,17.0,7.0,51.0
44.0,27.0,7.0,6.0,28.0,24.0,8.0,20.0,17.0,7.0,51.0
45.0,27.0,7.0,6.0,28.0,24.0,8.0,20.0,17.0,7.0,51.0
46.0,26.0,7.0,6.0,28.0,24.0,8.0,20.0,17.0,7.0,51.0
47.0,26.0,6.0,6.0,28.0,24.0,8.0,20.0,17.0,7.0,51.0
48.0,26.0,15.0,6.0,38.0,34.0,8.0,20.0,17.0,7.0,50.0
49.0,26.0,15.0,6.0,38.0,33.0,8.0,20.0,17.0,7.0,50.0
50.0,26.0,15.0,6.0,38.0,33.0,8.0,20.0,17.0,6.0,50.0
51.0,26.0,15.0,6.0,38.0,32.0,8.0,19.0,16.0,6.0,50.0
52.0,26.0,15.0,16.0,38.0,31.0,8.0,19.0,16.0,6.0,50.0
53.0,26.0,15.0,16.0,38.0,30.0,8.0,19.0,16.0,6.0,50.0
54.0,26.0,15.0,16.0,38.0,30.0,8.0,19.0,16.0,6.0,50.0
55.0,25.0,15.0,16.0,37.0,30.0,18.0,18.0,16.0,6.0,60.0
56.0,35.0,15.0,16.0,35.0,39.0,18.0,18.0,16.0,6.0,58.0
57.0,45.0,15.0,16.0,45.0,39.0,18.0,18.0,16.0,26.0,57.0
58.0,44.0,15.0,16.0,45.0,38.0,18.0,18.0,16.0,26.0,57.0
59.0,44.0,15.0,16.0,44.0,38.0,18.0,18.0,16.0,26.0,56.0
60.0,44.0,15.0,16.0,44.0,38.0,18.0,18.0,16.0,26.0,55.0
61.0,44.0,15.0,16.0,43.0,38.0,18.0,18.0,16.0,26.0,55.0
62.0,42.0,15.0,15.0,42.0,38.0,18.0,18.0,15.0,25.0,55.0
63.0,41.0,14.0,15.0,42.0,38.0,18.0,18.0,15.0,25.0,55.0
64.0,40.0,14.0,15.0,42.0,38.0,18.0,18.0,15.0,25.0,54.0
65.0,39.0,14.0,15.0,41.0,38.0,18.0,18.0,14.0,25.0,54.0
66.0,39.0,14.0,15.0,40.0,38.0,18.0,18.0,24.0,25.0,53.0
67.0,39.0,14.0,15.0,39.0,37.0,18.0,18.0,24.0,25.0,52.0
68.0,38.0,14.0,15.0,39.0,37.0,18.0,17.0,24.0,25.0,52.0
69.0,38.0,13.0,15.0,49.0,37.0,18.0,17.0,24.0,25.0,52.0
70.0,38.0,13.0,15.0,49.0,37.0,18.0,17.0,24.0,25.0,51.0
71.0,38.0,13.0,15.0,49.0,36.0,17.0,17.0,24.0,25.0,60.0
72.0,37.0,13.0,15.0,49.0,36.0,17.0,27.0,24.0,25.0,60.0
73.0,37.0,13.0,15.0,49.0,36.0,17.0,26.0,24.0,25.0,60.0
