"Time","S0 (inverter/fastDeg, 1)","S0 (inverter/fastDeg, 10)","S0 (inverter/fastDeg, 2)","S0 (inverter/fastDeg, 3)","S0 (inverter/fastDeg, 4)","S0 (inverter/fastDeg, 5)","S0 (inverter/fastDeg, 6)","S0 (inverter/fastDeg, 7)","S0 (inverter/fastDeg, 8)","S0 (inverter/fastDeg, 9)"
1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
2.0,0.0,18.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
3.0,0.0,17.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
4.0,0.0,17.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
5.0,0.0,16.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0
6.0,0.0,16.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0
7.0,0.0,25.0,0.0,10.0,0.0,9.0,10.0,0.0,0.0,0.0
8.0,0.0,23.0,0.0,10.0,0.0,8.0,9.0,0.0,0.0,0.0
9.0,0.0,22.0,0.0,8.0,0.0,8.0,9.0,0.0,0.0,0.0
10.0,0.0,21.0,0.0,8.0,0.0,8.0,9.0,0.0,0.0,0.0
11.0,0.0,20.0,0.0,8.0,0.0,8.0,9.0,0.0,0.0,0.0
12.0,0.0,19.0,0.0,8.0,0.0,8.0,9.0,0.0,0.0,0.0
13.0,0.0,28.0,0.0,8.0,0.0,8.0,9.0,0.0,0.0,0.0
14.0,20.0,26.0,0.0,8.0,0.0,7.0,7.0,0.0,0.0,0.0
15.0,20.0,35.0,0.0,8.0,0.0,7.0,7.0,0.0,0.0,0.0
16.0,17.0,33.0,0.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0
17.0,17.0,32.0,0.0,7.0,0.0,6.0,7.0,0.0,0.0,10.0
18.0,16.0,31.0,0.0,7.0,0.0,6.0,7.0,0.0,0.0,18.0
19.0,16.0,29.0,0.0,7.0,0.0,5.0,7.0,0.0,10.0,15.0
20.0,16.0,26.0,10.0,7.0,0.0,5.0,7.0,0.0,9.0,15.0
21.0,14.0,25.0,10.0,6.0,0.0,5.0,16.0,0.0,9.0,13.0
22.0,14.0,24.0,10.0,6.0,0.0,5.0,15.0,0.0,9.0,12.0
23.0,12.0,22.0,8.0,6.0,0.0,5.0,15.0,0.0,9.0,22.0
24.0,12.0,20.0,6.0,6.0,0.0,4.0,13.0,0.0,9.0,20.0
